# x_m,y_m,w_tr_right_m,w_tr_left_m
-202.7991,27.43491,3.5,3.5
-201.4389,26.3084,3.5,3.5
-200.0599,25.21276,3.5,3.5
-198.6404,24.12841,3.5,3.5
-197.2355,23.09394,3.5,3.5
-195.7788,22.05794,3.5,3.5
-194.3344,21.06397,3.5,3.5
-192.8669,20.08488,3.5,3.5
-191.3613,19.10987,3.5,3.5
-189.8901,18.18351,3.5,3.5
-188.3764,17.25551,3.5,3.5
-186.8485,16.34254,3.5,3.5
-185.3408,15.46336,3.5,3.5
-183.7946,14.58252,3.5,3.5
-182.2425,13.71805,3.5,3.5
-180.7096,12.88237,3.5,3.5
-179.1416,12.04503,3.5,3.5
-177.5604,11.21738,3.5,3.5
-176.0113,10.42185,3.5,3.5
-174.4302,9.624653,3.5,3.5
-172.8171,8.825792,3.5,3.5
-171.2551,8.065384,3.5,3.5
-169.6678,7.30528,3.5,3.5
-168.0512,6.543502,3.5,3.5
-166.4458,5.798737,3.5,3.5
-164.8576,5.072865,3.5,3.5
-163.2427,4.345404,3.5,3.5
-161.6009,3.61632,3.5,3.5
-160.0003,2.915202,3.5,3.5
-158.391,2.219501,3.5,3.5
-156.7572,1.522271,3.5,3.5
-155.0986,0.8234277,3.5,3.5
-153.4937,0.1553764,3.5,3.5
-151.8706,-0.5123534,3.5,3.5
-150.2248,-1.181624,3.5,3.5
-148.5564,-1.852414,3.5,3.5
-146.9371,-2.496306,3.5,3.5
-145.306,-3.138125,3.5,3.5
-143.6541,-3.78139,3.5,3.5
-141.9812,-4.426164,3.5,3.5
-140.3369,-5.053593,3.5,3.5
-138.7027,-5.671273,3.5,3.5
-137.0491,-6.290387,3.5,3.5
-135.3763,-6.910913,3.5,3.5
-133.6785,-7.534614,3.5,3.5
-131.9593,-8.144868,3.5,3.5
-130.2663,-8.715981,3.5,3.5
-128.5991,-9.248458,3.5,3.5
-126.9576,-9.742739,3.5,3.5
-125.2224,-10.23177,3.5,3.5
-123.4848,-10.68574,3.5,3.5
-121.7774,-11.0957,3.5,3.5
-120.0999,-11.46228,3.5,3.5
-118.332,-11.80819,3.5,3.5
-116.5677,-12.11037,3.5,3.5
-114.8379,-12.36308,3.5,3.5
-113.1222,-12.56926,3.5,3.5
-111.3165,-12.73621,3.5,3.5
-109.5507,-12.84744,3.5,3.5
-107.8245,-12.90397,3.5,3.5
-106.0318,-12.9052,3.5,3.5
-104.2535,-12.84546,3.5,3.5
-102.5202,-12.72548,3.5,3.5
-100.7506,-12.53645,3.5,3.5
-98.99095,-12.27774,3.5,3.5
-97.28112,-11.95448,3.5,3.5
-95.54475,-11.5489,3.5,3.5
-93.84012,-11.06973,3.5,3.5
-92.18608,-10.52257,3.5,3.5
-90.51643,-9.881958,3.5,3.5
-88.90369,-9.172421,3.5,3.5
-87.32696,-8.385527,3.5,3.5
-85.78069,-7.516823,3.5,3.5
-84.29199,-6.581811,3.5,3.5
-82.83884,-5.567364,3.5,3.5
-81.44051,-4.487425,3.5,3.5
-80.09603,-3.343842,3.5,3.5
-78.80339,-2.137399,3.5,3.5
-77.56604,-0.8742533,3.5,3.5
-76.38663,0.4388371,3.5,3.5
-75.26054,1.80279,3.5,3.5
-74.19041,3.209963,3.5,3.5
-73.17633,4.654916,3.5,3.5
-72.21124,6.142858,3.5,3.5
-71.30432,7.653779,3.5,3.5
-70.44447,9.200046,3.5,3.5
-69.63338,10.7735,3.5,3.5
-68.87242,12.36502,3.5,3.5
-68.15347,13.98583,3.5,3.5
-67.48187,15.61787,3.5,3.5
-66.85148,17.26948,3.5,3.5
-66.26031,18.94056,3.5,3.5
-65.71107,20.61695,3.5,3.5
-65.19769,22.31089,3.5,3.5
-64.72092,24.01432,3.5,3.5
-64.27947,25.72539,3.5,3.5
-63.87094,27.44754,3.5,3.5
-63.49521,29.17543,3.5,3.5
-63.15073,30.90977,3.5,3.5
-62.83644,32.64988,3.5,3.5
-62.55106,34.39705,3.5,3.5
